BAJFINANCE: ROE anomaly | computed=16.08, source=22.1
BAJFINANCE: ROCE anomaly | computed=17.99, source=11.9
BAJFINANCE: ROCE anomaly | computed=18.08, source=11.9
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROCE anomaly | computed=13.89, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROCE anomaly | computed=13.30, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=9.40, source=16.7
BANKBARODA: ROCE anomaly | computed=12.01, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=-11.84, source=16.7
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=4.31, source=16.7
BANKBARODA: ROCE anomaly | computed=13.57, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=-3.94, source=16.7
BANKBARODA: ROCE anomaly | computed=14.02, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=2.12, source=16.7
BANKBARODA: ROCE anomaly | computed=14.23, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=1.29, source=16.7
BANKBARODA: ROCE anomaly | computed=14.63, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=1.97, source=16.7
BANKBARODA: ROCE anomaly | computed=14.73, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROE anomaly | computed=8.64, source=16.7
BANKBARODA: ROCE anomaly | computed=16.90, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROCE anomaly | computed=16.35, source=6.33
BANKBARODA: High D/E suppressed (Financial sector)
BANKBARODA: ROCE anomaly | computed=16.32, source=6.33
BHARTIARTL: ROE anomaly | computed=4.50, source=14.9
BHARTIARTL: ROCE anomaly | computed=18.78, source=13.1
BHARTIARTL: ROE anomaly | computed=5.05, source=14.9
BHARTIARTL: ROCE anomaly | computed=18.95, source=13.1
BHARTIARTL: ROCE anomaly | computed=23.75, source=13.1
BHARTIARTL: ROCE anomaly | computed=21.02, source=13.1
BHARTIARTL: ROE anomaly | computed=6.29, source=14.9
BHARTIARTL: ROCE anomaly | computed=19.67, source=13.1
BHARTIARTL: ROE anomaly | computed=3.14, source=14.9
BHARTIARTL: ROE anomaly | computed=2.36, source=14.9
BHARTIARTL: ROE anomaly | computed=-39.75, source=14.9
BHARTIARTL: ROCE anomaly | computed=1.42, source=13.1
BHARTIARTL: ROE anomaly | computed=-20.97, source=14.9
BHARTIARTL: ROCE anomaly | computed=23.16, source=13.1
BHARTIARTL: ROCE anomaly | computed=24.61, source=13.1
BHARTIARTL: ROCE anomaly | computed=23.46, source=13.1
BEL: ROE anomaly | computed=15183.33, source=26.3
BEL: ROCE anomaly | computed=8104.83, source=34.6
BEL: ROE anomaly | computed=13600.00, source=26.3
BEL: ROCE anomaly | computed=7597.46, source=34.6
BEL: ROE anomaly | computed=17100.00, source=26.3
BEL: ROCE anomaly | computed=8884.26, source=34.6
BEL: ROE anomaly | computed=11141.67, source=26.3
BEL: ROCE anomaly | computed=6732.78, source=34.6
BEL: ROE anomaly | computed=10153.33, source=26.3
BEL: ROCE anomaly | computed=5807.15, source=34.6
BEL: ROE anomaly | computed=4616.13, source=26.3
BEL: ROCE anomaly | computed=3339.72, source=34.6
BEL: ROE anomaly | computed=3851.02, source=26.3
BEL: ROCE anomaly | computed=3284.63, source=34.6
BEL: ROE anomaly | computed=3318.18, source=26.3
BEL: ROCE anomaly | computed=3292.58, source=34.6
BEL: ROE anomaly | computed=3559.32, source=26.3
BEL: ROCE anomaly | computed=3107.91, source=34.6
BEL: ROE anomaly | computed=3478.26, source=26.3
BEL: ROCE anomaly | computed=3108.48, source=34.6
BEL: ROE anomaly | computed=3981.33, source=26.3
BEL: ROCE anomaly | computed=3862.29, source=34.6
BEL: ROE anomaly | computed=4744.05, source=26.3
BEL: ROCE anomaly | computed=4184.41, source=34.6
BHEL: ROE anomaly | computed=21.91, source=1.05
BHEL: ROCE anomaly | computed=26.13, source=3.28
BHEL: ROE anomaly | computed=10.56, source=1.05
BHEL: ROCE anomaly | computed=17.09, source=3.28
BHEL: ROCE anomaly | computed=12.02, source=3.28
BHEL: ROCE anomaly | computed=10.68, source=3.28
BHEL: ROCE anomaly | computed=10.92, source=3.28
BHEL: ROCE anomaly | computed=12.24, source=3.28
BHEL: ROE anomaly | computed=-5.12, source=1.05
BHEL: ROE anomaly | computed=-10.39, source=1.05
BHEL: ROCE anomaly | computed=-1.85, source=3.28
BHEL: ROCE anomaly | computed=9.01, source=3.28
BHEL: ROCE anomaly | computed=10.16, source=3.28
BHEL: ROCE anomaly | computed=9.14, source=3.28
BOSCHLTD: ROCE anomaly | computed=31.83, source=20.6
BOSCHLTD: ROCE anomaly | computed=28.30, source=20.6
BOSCHLTD: ROCE anomaly | computed=33.64, source=20.6
BOSCHLTD: ROCE anomaly | computed=26.06, source=20.6
BOSCHLTD: ROCE anomaly | computed=29.31, source=20.6
BOSCHLTD: ROCE anomaly | computed=26.07, source=20.6
BOSCHLTD: ROCE anomaly | computed=29.60, source=20.6
BOSCHLTD: ROE anomaly | computed=7.01, source=16.0
BOSCHLTD: ROE anomaly | computed=4.91, source=16.0
BOSCHLTD: ROCE anomaly | computed=25.92, source=20.6
BOSCHLTD: ROCE anomaly | computed=29.63, source=20.6
BPCL: ROE anomaly | computed=11.54, source=41.9
BPCL: ROCE anomaly | computed=65.56, source=32.1
BPCL: ROE anomaly | computed=20.85, source=41.9
BPCL: ROCE anomaly | computed=67.97, source=32.1
BPCL: ROE anomaly | computed=22.52, source=41.9
BPCL: ROCE anomaly | computed=65.10, source=32.1
BPCL: ROE anomaly | computed=29.10, source=41.9
BPCL: ROCE anomaly | computed=55.38, source=32.1
BPCL: ROE anomaly | computed=30.85, source=41.9
BPCL: ROCE anomaly | computed=49.41, source=32.1
BPCL: ROE anomaly | computed=26.74, source=41.9
BPCL: ROCE anomaly | computed=50.18, source=32.1
BPCL: ROE anomaly | computed=22.00, source=41.9
BPCL: ROCE anomaly | computed=52.53, source=32.1
BPCL: ROE anomaly | computed=10.04, source=41.9
BPCL: ROCE anomaly | computed=42.03, source=32.1
BPCL: ROE anomaly | computed=32.34, source=41.9
BPCL: ROCE anomaly | computed=42.20, source=32.1
BPCL: ROE anomaly | computed=22.51, source=41.9
BPCL: ROCE anomaly | computed=46.24, source=32.1
BPCL: ROE anomaly | computed=3.98, source=41.9
BPCL: ROCE anomaly | computed=52.28, source=32.1
BPCL: ROE anomaly | computed=35.51, source=41.9
BPCL: ROCE anomaly | computed=59.16, source=32.1
BRITANNIA: ROE anomaly | computed=46.59, source=57.1
BRITANNIA: ROCE anomaly | computed=83.70, source=48.9
BRITANNIA: ROE anomaly | computed=49.50, source=57.1
BRITANNIA: ROCE anomaly | computed=85.21, source=48.9
BRITANNIA: ROCE anomaly | computed=78.41, source=48.9
BRITANNIA: ROE anomaly | computed=39.44, source=57.1
BRITANNIA: ROCE anomaly | computed=65.51, source=48.9
